ID,Name,Origin,Gender,Athenian Citizen,Roman Citizen,Family,Extended,Praenomen,Nomen,Cognomen,Onomos,Patronym,Demotic,Genos,Uncertain Person,RCA,PA,PAA,LGPN,Notes
2414,Aiskhylos,Athens,Male,TRUE,FALSE,,,,,,Aiskhylos,,,,FALSE,,,,,
2415,Zoeilos,Athens,Male,TRUE,FALSE,,,,,,Zoeilos,,,,FALSE,,,,,
2416,Neokleides,Athens,Male,TRUE,FALSE,,,,,,Neokleides,,,,FALSE,,,,,
2417,Iun. Agathopodos,Athens,Uncertain,TRUE,TRUE,,,,Iunius,,Agathopodos,,,,FALSE,,,,,
2418,Demetrios Apolloniou,Athens,Male,TRUE,FALSE,,,,,,Demetrios,Apolloniou,,,FALSE,,,,,
2419,"Alkamenes, Pyrphoros",Athens,Male,TRUE,FALSE,,,,,,Alkamenes,,,,FALSE,,,,,
2420,[?] Exegete of Eumolpidai,Athens,Male,TRUE,FALSE,,,,,,,,,Eumolpid,TRUE,,,,,
2421,Aristaios,Athens,Male,TRUE,FALSE,,,,,,Aristaios,,,,FALSE,,,,,
2422,[?] High Priest Ti. Kl. Lianou,Athens,Male,TRUE,TRUE,,,Tiberius,Claudius,,,Lianou,,,TRUE,,,,,
2423,[.]mmios,Athens,Male,FALSE,TRUE,,,,,,,,,,TRUE,,,,,
2424,Q. Fronto Marathonios,Rome,Male,TRUE,TRUE,,,Quintus,Fronto,,,,Marathon,,FALSE,,,,,
2425,Lolliane Glaukou,Athens,Female,TRUE,FALSE,,,,,,Lolliane,Glaukou,,,FALSE,,,,,
2426,[?] Claudius,Athens,Male,TRUE,TRUE,,,,Claudius,,,,,,TRUE,,,,,
2427,[?] Exegete,Athens,Male,TRUE,FALSE,,,,,,,,,,TRUE,,,,,
2428,[?] Exegete of Eumolpidai,Athens,Male,TRUE,FALSE,,,,,,,,,Eumolpid,TRUE,,,,,
2429,Praxagoras? Of Melite,Athens,Male,TRUE,FALSE,,,,,,Praxagoras,,Melite,Keryx,FALSE,,,,,
